Company,Product,Version,Date,Filename,SourceRepo,RelPath,SizeBytes,Hash,ExactDupCount,FuzzyDupCount
Anthropic,claude-cowork,,,claude-cowork.md,TheBigPromptLibrary,ANTHROPIC/claude-cowork.md,115215,ee23ac19eb862fcf,1,0
Anthropic,Claude for Chrome,,,Prompt.txt,TheBigPromptLibrary,ANTHROPIC/Claude for Chrome/Prompt.txt,43593,35121a17cf02d0f4,1,0
Anthropic,claude-4.1-opus-thinking,4.1,,claude-4.1-opus-thinking.md,TheBigPromptLibrary,ANTHROPIC/old/claude-4.1-opus-thinking.md,105567,8327f1802a56a1d0,1,0
Anthropic,claude-4.5-sonnet,4.5,,claude-4.5-sonnet.md,TheBigPromptLibrary,ANTHROPIC/old/claude-4.5-sonnet.md,143465,66b325098945abe1,1,1
Anthropic,claude-sonnet-4,,,claude-sonnet-4.md,TheBigPromptLibrary,ANTHROPIC/old/claude-sonnet-4.md,101438,53f97663d5362a3b,1,0
Anthropic,claude-3.7-sonnet-full-system-message-humanreadable,3.7,,claude-3.7-sonnet-full-system-message-humanreadable.md,TheBigPromptLibrary,ANTHROPIC/old/claude-3.7-sonnet-full-system-message-humanreadable.md,113712,8612bf1d934afedb,1,1
Anthropic,Claude Code,,,Prompt.txt,TheBigPromptLibrary,ANTHROPIC/Claude Code/Prompt.txt,13019,d593cab6316f6039,1,0
Anthropic,official-product,,,AnthropicAgentLLMPrompter.md,chatgpt_system_prompt,prompts/official-product/claude/AnthropicAgentLLMPrompter.md,1311,fb0439926c41de6d,0,0
Anthropic,official-product,,,ClaudeWithCode.md,chatgpt_system_prompt,prompts/official-product/claude/ClaudeWithCode.md,2158,59c8199a099943d2,0,0
Anthropic,official-product,,,Claude3.md,chatgpt_system_prompt,prompts/official-product/claude/Claude3.md,1352,bbf2df1dd7dd00a4,0,1
Anthropic,official-product,,,tools.md,chatgpt_system_prompt,prompts/official-product/claude/tools.md,39084,5e6784c16f24ac71,0,0
Anthropic,official-product,,,compact-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/compact-2-1-12.md,5052,9f43f5fc866abd2f,0,0
Anthropic,official-product,,,suggestion_mode-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/suggestion_mode-2-1-12.md,1089,a7294d3bbe6b3d06,0,0
Anthropic,official-product,,,ClaudeCodeSystem-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/ClaudeCodeSystem-2-1-12.md,13702,07e9efe2586f527d,0,0
Anthropic,official-product,,,ClaudeCodePlanMode-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/plan/ClaudeCodePlanMode-2-1-12.md,7516,89f761f72453a1f0,0,0
Anthropic,official-product,,,ClaudeCodeFileSearchSpecialist-2-1-12.md,chatgpt_system_prompt,prompts/official-product/claude/claudecode/file_search/ClaudeCodeFileSearchSpecialist-2-1-12.md,3336,e50228ad3c18024f,0,0
